Title,Budget,Year,Genre,Rating,LetterboxdRating,Letterboxd URI,Length,Actors
"Love, Death & Robots: Sucker of Souls",0,2019,Animation|Fantasy|ScienceFiction,3.5,2.99,https://boxd.it/lFOW,15,Michael Benyaer|Fred Tatasciore|Laura Waddell
"Love, Death & Robots: Suits",0,2019,Animation|Fantasy|ScienceFiction,3,3.26,https://boxd.it/lFOM,17,G.K. Bowes|Scott Whyte|Courtenay Taylor
"Love, Death & Robots: Swarm",0,2022,Animation|Fantasy|ScienceFiction,4,2.94,https://boxd.it/AW84,17,Rosario Dawson|Jason George|Fred Tatasciore
"Love, Death & Robots: The Drowned Giant",0,2021,Animation|Fantasy|ScienceFiction,3.5,3.48,https://boxd.it/vdRo,13,Steven Pacey|Nick Boraine|Kayli Tran
"Love, Death & Robots: The Dump",0,2019,Animation|Fantasy|ScienceFiction,3.5,2.67,https://boxd.it/lJGi,10,Nolan North|Andr� Sogliuzzo|Gary Cole
"Love, Death & Robots: The Secret War",0,2019,Fantasy|ScienceFiction|Animation,3.5,3.51,https://boxd.it/lN0g,16,Stefan Kapi?i?|Bruce Thomas|Antonio Alvarez
"Love, Death & Robots: The Tall Grass",0,2021,Animation|Fantasy|ScienceFiction,3.5,3.32,https://boxd.it/vdQU,11,Joe Dempsie|Steven Pacey
"Love, Death & Robots: The Very Pulse of the Machine",0,2022,Fantasy|ScienceFiction|Animation,3.5,3.39,https://boxd.it/AW5O,17,Mackenzie Davis|David Shatraw
"Love, Death & Robots: The Witness",0,2019,ScienceFiction|Fantasy|Animation,5,3.85,https://boxd.it/lFO8,15,Emily O'Brien|Ben Sullivan|Matthew Yang King
"Love, Death & Robots: Three Robots",0,2019,Animation|Fantasy|ScienceFiction,3.5,3.61,https://boxd.it/lECK,15,Josh Brener|Gary Anthony Williams|Chris Parnell
"Love, Death & Robots: Three Robots: Exit Strategies",0,2022,Animation|ScienceFiction|Fantasy,3.5,3.27,https://boxd.it/AVpy,11,Josh Brener|Gary Anthony Williams|Katie Lowes
